Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Speed,Pothole
19:05:15.522,Gyroscope,0.005193,-0.007191,-0.039282,,,0.00,0
19:05:15.524,Gyroscope,0.005193,-0.007191,-0.039282,,,0.00,0
19:05:15.525,Accelerometer,0.504287,2.095515,9.569496,,,0.00,0
19:05:15.628,Accelerometer,0.662812,1.478166,9.512068,,,0.00,0
19:05:15.629,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.630,Accelerometer,0.662812,1.478166,9.512068,,,0.00,0
19:05:15.630,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.630,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.631,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.631,Accelerometer,0.662812,1.478166,9.512068,,,0.00,0
19:05:15.632,Accelerometer,0.662812,1.478166,9.512068,,,0.00,0
19:05:15.632,Accelerometer,0.662812,1.478166,9.512068,,,0.00,0
19:05:15.632,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.633,Gyroscope,-0.016112,-0.001864,-0.040347,,,0.00,0
19:05:15.675,Gyroscope,-0.017177,0.005593,-0.037151,,,0.00,0
19:05:15.678,Accelerometer,0.145364,1.325026,9.747163,,,0.00,0
19:05:15.680,Gyroscope,-0.017177,0.005593,-0.037151,,,0.00,0
19:05:15.682,Accelerometer,0.145364,1.325026,9.747163,,,0.00,0
19:05:15.683,Accelerometer,0.145364,1.325026,9.747163,,,0.00,0
19:05:15.686,Accelerometer,0.145364,1.325026,9.747163,,,0.00,0
19:05:15.690,Gyroscope,-0.017177,0.005593,-0.037151,,,0.00,0
19:05:15.715,Accelerometer,0.389432,1.185644,9.751948,,,0.00,0
19:05:15.718,Accelerometer,0.389432,1.185644,9.751948,,,0.00,0
19:05:15.747,Gyroscope,-0.014514,0.004128,-0.029295,,,0.00,0
19:05:15.747,Gyroscope,-0.014514,0.004128,-0.029295,,,0.00,0
