route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
A,30.64908668181369,76.73974780355961,6.4413319364667005,Speed Bump,3.0053856,0.65,0.6055663824081421,0.0450609206416439,2.0357194519042974,1.7210125350952161,0.6600226759910583,2.0357194519042974,0
A,30.64922000997169,76.73997058359376,7.330707055499282,Speed Bump,4.576991,0.65,0.9161655902862549,0.0641475523048308,2.9641342735290532,2.757104339599609,1.1967010498046875,2.9641342735290532,1
A,30.649294612330955,76.74010751003743,8.210119876865926,Speed Bump,5.4556355,0.65,0.9999799728393555,0.6538233482973815,3.222559032440185,3.5969852828979487,2.3833096027374268,3.5969852828979487,1
A,30.649446327836035,76.74040396929318,7.973635285625782,Speed Bump,5.49775,0.65,0.8443762063980103,0.304258636805186,3.8446932411193853,3.0274938964843763,2.709338426589966,3.8446932411193853,2
A,30.649518561254215,76.74054450732235,7.954776638506326,Speed Bump,10.0,0.65,0.9961672425270081,0.4786246389023939,9.391256031990052,9.363686981201168,1.7513152360916138,9.391256031990052,2
A,30.649648869751417,76.74082075915115,7.868386826926799,Speed Bump,4.5214777,0.65,0.9889011383056641,0.11708000096426827,2.535819110870362,3.1160282516479487,1.4275891780853271,3.1160282516479487,3
A,30.649801853023835,76.74112231615445,8.87422942913509,Speed Bump,7.4732637,0.65,0.9999759197235107,0.4773588397286983,5.361742553710937,3.9798368835449214,1.4836828708648682,5.361742553710937,4
A,30.64989200381646,76.74128168860801,9.49619131859597,Speed Bump,4.345366,0.65,0.938688337802887,0.08582176060564069,2.224752006530762,3.206955375671388,1.884444236755371,3.206955375671388,4
A,30.65009358631256,76.74161625343321,10.4682284653106,Speed Bump,5.821259,0.65,0.9998495578765869,0.09925460467013737,3.1316319084167485,4.144941749572753,1.89661169052124,4.144941749572753,5
A,30.650207006664438,76.74180665820798,11.239391945903186,Speed Bump,4.8430734,0.65,0.7819582223892212,0.06788778901204906,3.0694184875488286,2.984423103332519,1.33154296875,3.0694184875488286,6
A,30.650323204232034,76.74199492198647,10.775512680949811,Speed Bump,5.511149,0.65,0.6797555088996887,0.056479274763478554,3.363735733032227,3.5252003097534175,1.4136860370635986,3.5252003097534175,7
A,30.650750592028793,76.74264735552485,8.226057358710047,Speed Bump,2.2626534,0.65,0.4687582552433014,0.057759649321955084,0.8871646499633794,1.94115203857422,0.8983906507492065,1.94115203857422,8
A,30.651138855119466,76.74328159051136,6.680825891866212,Speed Bump,2.4827926,0.65,0.6750373244285583,0.05451004483268365,1.286765632629395,1.8167251968383802,1.1333472728729248,1.8167251968383802,9
A,30.651285098071334,76.74343249608206,4.817417806277863,Pothole,10.0,0.95,1.0,1.661361676840076,9.656859350800515,14.893500747680664,2.5284652709960938,14.893500747680664,132
A,30.651365080500657,76.74344996049744,4.480849375214448,Speed Bump,6.001199,0.65,0.9933521747589111,0.5931445326460053,4.737216053009034,2.7642826461791987,2.33207106590271,4.737216053009034,10
A,30.651454804997528,76.74345710136622,5.277634878945825,Speed Bump,3.0953553,0.65,0.5821775794029236,0.18654604292029486,2.0524688339233403,1.8167251968383802,1.3634564876556396,2.0524688339233403,10
A,30.651859882644292,76.74329860241981,6.609490805220939,Speed Bump,4.3645086,0.65,0.9748465418815613,0.2055350795765379,2.976098594665528,2.47953742980957,1.4211171865463257,2.976098594665528,11
A,30.651948440250134,76.74319394276907,7.101912220810536,Speed Bump,5.298667,0.65,0.7435060739517212,0.12235364256082214,3.598232326507569,3.025101127624511,1.1302400827407837,3.598232326507569,11
A,30.65203642855392,76.74308325986283,7.203146101760362,Speed Bump,4.5272207,0.65,0.5280674695968628,0.18789978481175493,3.0119910812377935,2.647035064697265,1.7261284589767456,3.0119910812377935,11
A,30.65220861403975,76.74286219590033,7.066191521943716,Speed Bump,4.353023,0.65,0.5270370841026306,0.12894260615363207,2.7822800254821782,2.6589989089965815,1.5533183813095093,2.7822800254821782,12
A,30.652290523109958,76.74275296454854,6.8285985764743335,Speed Bump,7.479007,0.65,0.7385458946228027,0.37815080671034457,4.02654748916626,5.322210731506347,1.1948635578155518,5.322210731506347,12
A,30.652649927625166,76.7423343145837,7.597755158137301,Speed Bump,4.848816,0.65,0.9178525805473328,0.1711399574154297,3.2321305847167974,2.82888931274414,1.554836630821228,3.2321305847167974,13
A,30.652859466558798,76.74214417426661,6.8908386597198374,Speed Bump,3.3614373,0.65,0.6883754730224609,0.17651287930502885,1.9543634033203139,2.247433128356933,1.377505660057068,2.247433128356933,14
A,30.652968434488802,76.7420865908432,6.553481947556297,Speed Bump,4.427679,0.65,0.8813379406929016,0.21915008350526224,2.4137850379943853,3.1208137893676753,1.739509105682373,3.1208137893676753,14
A,30.653086246188998,76.74203694984642,7.2563154082698205,Hard Braking,1.7036643,0.65,0.9433695673942566,0.20825184533334923,1.8395076370239263,1.6659769439697278,1.4197202920913696,1.8395076370239263,157
A,30.65321308520164,76.74198303241934,7.493138037069643,Speed Bump,4.144369,0.65,0.8206833004951477,0.12713726588007793,2.1553602790832525,3.025101127624511,1.5416370630264282,3.025101127624511,15
A,30.653438936924104,76.74186397131777,5.872904421764657,Speed Bump,6.9257855,0.65,0.7420400381088257,0.4169552482930026,3.1770954704284673,5.480136337280271,2.4087793827056885,5.480136337280271,16
A,30.653517792204173,76.74179965193748,5.1066096257280815,Speed Bump,5.7791452,0.65,0.9474714398384094,0.5375139147230377,3.1220608329772954,4.101870956420898,1.539116382598877,4.101870956420898,16
