X_min,X_max,X_mean,X_std,Y_min,Y_max,Y_mean,Y_std,Z_min,Z_max,Z_mean,Z_std,mag_min,mag_max,mag_mean,mag_std,is_pothole,n_samples,trip,window_start
-65.0,129.0,17.88235294117647,47.09050404204924,33.0,352.0,167.97058823529412,96.12996267128888,-390.0,-71.0,-225.76470588235293,81.67116952019144,114.9695611890382,525.364635277252,292.7625994518098,109.18939998049966,0,34,1,0.0
-248.0,160.0,13.96875,75.78278348963899,17.0,511.0,149.875,119.99680985342901,-512.0,-16.0,-202.34375,98.28263115086764,87.63560920082658,764.7019027045768,274.2737277334311,134.8194988687012,1,32,1,2.0
-169.0,130.0,-18.897435897435898,75.67704487908144,-58.0,511.0,128.6153846153846,139.1311160582754,-512.0,35.0,-207.35897435897436,128.02393349552267,46.06517122512408,733.5291405254463,270.29228628976887,168.26605298643634,0,39,1,4.0
-164.0,188.0,-17.6875,78.91428795693464,-49.0,322.0,113.125,94.34072225184626,-438.0,-24.0,-215.59375,113.69472815807029,86.21484790916237,519.3900268584293,263.70844035847654,134.54651513026943,0,32,1,6.0
-210.0,156.0,-33.892857142857146,89.31778709661775,-116.0,343.0,83.25,106.47690058009229,-512.0,26.0,-227.14285714285714,150.88588741299884,49.77951385861457,567.2741841473133,276.79155923986116,158.5596008423353,0,28,1,8.0
-207.0,97.0,-31.11764705882353,81.3416052669533,-98.0,336.0,109.52941176470588,103.09511179548993,-512.0,-64.0,-246.11764705882354,134.6559373116804,86.27861844049197,566.7706767291336,296.1497630276285,145.6416641255781,1,17,1,10.0
-149.0,235.0,-13.347826086956522,78.67246836017539,33.0,353.0,138.52173913043478,84.58742303738696,-470.0,-84.0,-232.69565217391303,95.26322105327027,134.05968819895114,593.7718417035284,288.94645256038456,111.54874031477424,0,23,1,12.0
-161.0,96.0,-37.142857142857146,68.0065022901597,-42.0,511.0,152.95238095238096,124.43681746955004,-512.0,21.0,-236.04761904761904,143.802601536331,82.76472678623425,723.6753415724485,309.29281822371,160.05951341088831,0,21,1,14.0
-214.0,36.0,-36.642857142857146,66.25018290309754,-94.0,474.0,146.5,166.6697975896396,-512.0,-13.0,-247.07142857142858,149.10038051389324,48.67237409455183,661.1520248777886,323.91556012916504,182.5562415662108,1,14,1,16.0
-512.0,337.0,36.23076923076923,194.92687143413704,-39.0,511.0,114.53846153846153,144.6755603116134,-512.0,45.0,-183.92307692307693,180.53955949979135,50.309044912421065,886.2330393299496,298.53358485081435,225.07589887543088,1,13,1,18.0
-159.0,147.0,8.473684210526315,78.70422206360418,-15.0,175.0,73.47368421052632,54.85998294323337,-477.0,36.0,-142.26315789473685,124.29753865762382,41.12177038990418,509.69304488093616,193.81409682324357,113.13239137335304,0,19,1,20.0
-142.0,349.0,50.611111111111114,125.81650611059163,-11.0,331.0,119.83333333333333,85.45840443683049,-409.0,11.0,-211.88888888888889,111.03397322385858,62.37788069500277,439.39731451159327,289.4180911312008,116.2628806406447,0,18,1,22.0
-266.0,57.0,-49.333333333333336,102.69263740783843,-81.0,511.0,233.44444444444446,209.93444008976343,-512.0,-5.0,-303.6666666666667,189.02028109879285,49.92995093127971,770.7275783310209,416.9647972530108,256.185093821245,1,9,1,24.0
-320.0,91.0,-24.5,100.6732692568248,-81.0,511.0,138.28571428571428,168.92028067846027,-512.0,87.0,-228.21428571428572,189.97299754417304,20.223748416156685,790.9898861553162,313.1112030178702,220.28443360246592,1,14,1,26.0
-219.0,77.0,-44.375,66.34179960628141,-13.0,336.0,122.625,97.50953479019373,-512.0,83.0,-187.1875,149.98050654585083,62.185207244167,617.2268626688245,254.7205051269749,153.51270881545528,0,16,1,28.0
-110.0,62.0,-13.2,42.36696826538335,31.0,382.0,155.0,98.7832644395463,-401.0,-9.0,-233.06666666666666,98.94878585522018,181.01381162773188,563.9361666004407,297.83096687244455,105.64081521122162,0,15,1,30.0
-493.0,206.0,-28.6,177.29703889236276,-124.0,511.0,106.1,170.46374981209345,-512.0,-116.0,-314.8,131.80804224325615,129.96153277027784,875.3936257478689,382.723576872396,206.3064800387985,1,10,1,32.0
-512.0,349.0,-49.7,204.79113750355506,-35.0,319.0,79.6,96.24364914112515,-512.0,80.0,-208.8,175.91065914264547,91.61877536837086,725.4743275954015,295.9228872114786,216.74903650171674,1,10,1,34.0
-252.0,87.0,-36.86666666666667,88.88484435242914,2.0,293.0,94.06666666666666,77.06660899651823,-444.0,54.0,-147.2,138.1965749696183,45.902069670114,548.3064836384848,211.74558750600346,141.34145241838087,0,15,1,36.0
-302.0,76.0,-86.6923076923077,104.59106052062194,-29.0,329.0,104.15384615384616,94.7862746911307,-512.0,5.0,-260.38461538461536,139.50160653143772,50.60632371551998,610.040162612266,318.28303179245853,155.70505938843053,0,13,1,38.0
-84.0,23.0,-26.285714285714285,34.61921137054349,-7.0,174.0,92.5,49.45957945636012,-284.0,-159.0,-227.57142857142858,39.36770664555674,180.70417814760123,304.4700313659786,253.88583589571388,42.10085903559042,0,14,1,40.0
-99.0,139.0,-2.923076923076923,59.301007305572995,-6.0,370.0,166.82692307692307,108.91982251494166,-512.0,-24.0,-236.32692307692307,94.73134505899507,63.97655820689325,618.1528937083447,306.8995187561313,117.71589332414364,0,52,2,0.0
-150.0,148.0,18.256410256410255,65.14233644389915,-14.0,473.0,132.6153846153846,101.22420288889953,-512.0,-14.0,-196.35897435897436,121.3622437759482,63.30876716537765,697.3048113988602,260.13093640064096,134.26666359512592,0,39,2,2.0
-248.0,106.0,-18.25,133.33486978281414,65.0,511.0,173.125,137.5785571046593,-512.0,19.0,-200.25,159.45120727043744,117.79218989389746,760.8948679022615,299.85556517421696,206.45281551495225,1,8,2,4.0
-91.0,168.0,34.42857142857143,76.14339319028679,-27.0,405.0,126.92857142857143,109.02422030101796,-512.0,60.0,-194.28571428571428,116.47895491794006,97.63708311906906,652.8652234573381,264.0344172235721,128.76489408988795,0,28,2,6.0
-264.0,154.0,-40.12,84.32476267384332,-99.0,511.0,121.24,147.95277084259018,-512.0,19.0,-183.12,140.5305148357466,9.9498743710662,770.0396093708426,259.7594215032506,176.39796750613823,1,25,2,8.0
-242.0,162.0,-11.666666666666666,98.49512114256669,-52.0,473.0,159.13333333333333,139.48231269790287,-512.0,-1.0,-245.13333333333333,135.53639937505923,37.12142238654117,737.8597427695862,316.19320253241386,181.9298179856615,1,15,2,10.0
-245.0,232.0,-17.25,94.00738002944237,2.0,511.0,107.55,115.59735074818973,-417.0,8.0,-163.15,115.90697778822464,62.56196927846821,703.5872369507565,224.94407406049476,153.35323128342176,1,20,2,12.0
-131.0,209.0,22.291666666666668,91.18638383674518,-182.0,288.0,58.25,95.48352824789555,-327.0,25.0,-163.875,95.77113017501674,48.05205510693585,468.8304597613086,217.9976937215531,99.12705079215553,0,24,2,14.0
-109.0,251.0,-16.772727272727273,78.86117365816844,-214.0,511.0,137.13636363636363,164.45621010263588,-512.0,-20.0,-258.90909090909093,153.1006528965679,70.2353187506115,726.0227269170023,333.847156565137,177.1226684807356,0,22,2,16.0
-150.0,214.0,1.6153846153846154,114.67917687822606,-396.0,233.0,27.076923076923077,146.7695532975008,-512.0,223.0,-125.3076923076923,166.32331101496942,106.68176976409794,681.7301518929612,243.10361134242,140.33702400336043,1,13,2,18.0
-297.0,330.0,-13.857142857142858,166.7713820700393,-512.0,349.0,23.928571428571427,174.8670777989933,-512.0,62.0,-161.71428571428572,166.86668270184546,58.42944463196617,795.7311103632935,260.0141583320322,213.4113942158914,1,14,2,20.0
-92.0,250.0,26.416666666666668,103.93544337178193,-21.0,342.0,66.75,104.92388113929704,-229.0,77.0,-110.16666666666667,84.81728728403321,50.65570056765576,427.6353586877493,180.09507050687162,117.73458389866424,1,12,2,22.0
-123.0,131.0,1.4705882352941178,74.61991348084821,2.0,491.0,119.88235294117646,117.83781593805914,-512.0,44.0,-209.2941176470588,140.96381041867045,46.09772228646444,719.96805484688,266.57920185957323,162.59820477095207,0,17,2,24.0
-297.0,92.0,-61.90909090909091,128.77849520182428,47.0,329.0,159.54545454545453,103.00076225345803,-430.0,-9.0,-215.8181818181818,139.40837211184999,68.49817515817483,540.0166664094729,304.60839201532946,172.3556056139824,1,11,2,26.0
-201.0,32.0,-57.09090909090909,87.73560958973638,-55.0,419.0,89.18181818181819,126.52690564160521,-512.0,101.0,-153.36363636363637,170.44341781860027,43.474130238568314,552.6246465730604,242.06378846406196,169.98779246508596,1,11,2,28.0
-322.0,130.0,-23.9375,101.75857995152055,-109.0,473.0,139.0,126.93009887335627,-512.0,-45.0,-228.625,120.32345729324769,123.3288287465668,710.3815875992283,304.2950163954516,143.21916944631334,0,16,2,30.0
-216.0,79.0,-36.5,89.50768123462925,19.0,394.0,155.25,113.39890872490793,-385.0,-44.0,-254.0,86.77989398472437,76.68115805072325,530.9425580983313,321.2642190047074,123.05202796904814,0,16,2,32.0
-74.0,155.0,33.53333333333333,68.19664377535175,-184.0,454.0,95.66666666666667,136.86814417127488,-472.0,11.0,-222.26666666666668,128.73303987537759,59.28743543112655,655.68590041269,281.39365377153814,143.01239439446172,0,15,2,34.0
